Reihe,Δ5J_nom_%,Δ5J_real_%,CAGR_nom_%,CAGR_real_%
Lebensmitteleinzelhandel,23.25416121271573,17.05332467558087,5.365976793273353,4.014991609854435
Konsumausgaben Food,18.465569550427507,12.50564393953464,4.327316512617574,2.989648860079841
Konsumausgaben Bekleidung,-5.224552824604278,-9.992643815497814,-1.332537213058882,-2.5976351542303933
